VBISC5-PT1,1,BALBO1A,7,HSBCL3A,10165,60
TOKAL-I,1,MASMITA,68,ALBROCB,34964,40
VACNEP-NA2,1,ISMCB2A,16,PODERTA,6036,40
VACNM1-NA2,1,ESTAN1A,11,MANOP1A,5417,40
VACNPC-NA1,1,ESTAN1A,6,PACHO  ,19004,40
VACNPH-NA1,1,ESTAN1A,6,PACUR  ,14366,40
VACNST-NA2,1,ESTAN1A,15,ESTASLA,5657,40
VACNTE-NA2,1,ESTAN1A,14,ESTATCA,6149,40
VACPPF-NA2,1,ESTAN1A,12,PBAVE1A,5890,40
VACRAE-NA2,1,ESTAN1A,2,ESTAN2A,241,60
VAMNEM-NA1,1,TINCN1A,36,ESTAMAA,24878,40
VAMNPC-NA1,1,AMANE2A,29,PACHO  ,28268,40
VAMNPH-NA1,1,AMANE2A,28,PACUR  ,23630,40
VBISEM-PT1,1,BALBO1A,12,ESTAMAA,12291,40
VBISE3-PT1,1,BALBO1A,16,ESTICAA,12466,40
VBISL2-PT1,1,BALBO1A,13,LPAVA2A,12196,60
VBISMC-PT1,1,BALBO1A,12,MERMACA,12304,60
VBISPC-PT1,1,BALBO1A,12,PACHO  ,16434,40
VBISPH-PT1,1,BALBO1A,13,PACUR  ,15802,40
VBISPT-PT1,1,BALBO1A,6,PAICT1A,8843,60
VBISPU-PT1,1,BALBO1A,8,URRACCA,10127,60
VBACSEM-N1,1,HNICT3A,14,ESTAMAA,20667,40
VBACSPC-N1,1,PAETM1A,14,PACHO  ,24810,40
VBACSPH-N1,1,PAETM1A,14,PACUR  ,23506,40
VBADACP-N2,1,PAETM1A,5,CPRAD1A,4647,30
VBADAXA-N2,1,PAETM1A,2,139TM2A,3186,40
VBADDVL-N2,1,PAETM1A,16,VERDB2A,8851,40
VBADPLR-B2,1,PAETM1A,6,PUEBL4A,2817,60
VBADPPP-R2,1,PAETM1A,12,PAPUE  ,5569,40
VBAJAP2-B2,1,PAETM1A,9,ESTAPEA,5750,40
VACREA-NA2,1,ESTAN1A,28,AMANE1A,12021,40
VACREC-NA2,1,ESTAN1A,19,ESTACAA,8495,40
VACRLA-NA2,1,ESTAN1A,3,ANDESLA,1421,30
VACRPB-NA2,1,ESTAN1A,20,PACAB  ,8554,40
VACRPO-NA2,1,ESTAN1A,4,PAOJO  ,1429,40
VACRPS-NA2,1,ESTAN1A,3,VPESA1A,1042,30
VACRSB-NA2,1,ESTAN1A,7,ESTSI2A,2370,60
VACRVE-NA2,1,ESTAN1A,2,VERAN3A,436,40
VAMRAE-NA2,1,AMANE2A,31,ESTAN2A,12486,60
VAMRCR-NA2,1,AMANE2A,13,CABTK2A,5533,60
VAMREC-NA2,1,AMANE2A,11,ESTACAA,4238,40
VAMRPB-NA2,1,AMANE2A,11,PACAB  ,4440,40
VAMRPO-NA2,1,AMANE2A,28,PAOJO  ,12095,40
VBISVV-PT1,1,BALBO1A,9,VVETK2A,11663,60
VBITPD-NA2,1,BALBO1A,42,PADON  ,19860,40
VBIVCV-NA1,1,BALBO1A,18,CRUVHVA,6129,60
VBIACBV-N2,1,BALBO1A,4,BVVCS1A,3619,40
VBIACCE-N2,1,BALBO1A,4,BVVCS2A,3187,40
VBIACET-N1,1,BALBO1A,4,COEST1A,1166,60
VBICSAL-N1,1,BALBO1A,15,ALBROCA,16326,40
VBICSA2-N1,1,BALBO1A,12,AMELI3A,14986,40
VBICSA3-N1,1,BALBO1A,15,ADETM2A,12574,60
VBICSCN-P1,1,BALBO1A,13,CVANA2A,11773,60
VBICSC5-N1,1,BALBO1A,7,HSBCL3A,10165,60
VBICSEM-N1,1,BALBO1A,12,ESTAMAA,12291,40
VACRVR-NA2,1,ESTAN1A,8,VILRICA,4342,40
VACXAZ-NA2,1,ESTAN1A,22,EALCDIA,10510,30
